LayerID, Avg IFMAP SRAM BW, Avg FILTER SRAM BW, Avg OFMAP SRAM BW, Avg IFMAP DRAM BW, Avg FILTER DRAM BW, Avg OFMAP DRAM BW,
0, 25.448042677887145, 0.06491847621909985, 30.16064317379217, 7.974993377483444, 0.13731722822631914, 256.0,
1, 135.431969220007, 0.011192724728926198, 0.9404997862500486, 9.114623069936421, 0.04577240940877304, 254.73684210526315,
2, 154.32174284493806, 9.448269970098249, 154.32174284493806, 9.815696487302693, 8.78900103313995, 230.6384527001149,
3, 51.44937195590874, 2.0999743655472956, 102.89874391181748, 7.975204641182548, 1.301970756516211, 256.0,
4, 51.44937195590874, 2.0999743655472956, 102.89874391181748, 7.975204641182548, 1.301970756516211, 256.0,
5, 182.47770112445, 12.014992666630452, 152.06475093704165, 9.114623069936421, 8.78900103313995, 195.5038407821229,
6, 102.89874391181748, 4.199948731094591, 102.89874391181748, 9.114623069936421, 2.603941513032422, 256.0,
7, 102.89874391181748, 4.199948731094591, 102.89874391181748, 9.114623069936421, 2.603941513032422, 256.0,
8, 116.55284552845528, 0.148664343786295, 0.5058717253839206, 9.114623069936421, 0.18308963763509217, 245.0,
9, 129.57004519044546, 42.308586184635246, 129.57004519044546, 7.975204641182548, 5.2082969085273785, 256.0,
10, 120.02034368498111, 34.088618324728365, 90.01525776373585, 7.975204641182548, 8.78900103313995, 930.2412420382166,
11, 129.57004519044546, 42.308586184635246, 129.57004519044546, 7.975204641182548, 5.2082969085273785, 256.0,
12, 129.57004519044546, 42.308586184635246, 129.57004519044546, 7.975204641182548, 5.2082969085273785, 256.0,
13, 64.78502259522273, 21.154293092317623, 129.57004519044546, 7.975204641182548, 5.207883026064844, 256.0,
14, 120.02034368498111, 45.45149109963782, 120.02034368498111, 7.975204641182548, 9.375083447245446, 275.1738208797032,
15, 129.57004519044546, 42.308586184635246, 129.57004519044546, 7.975204641182548, 5.2082969085273785, 256.0,
16, 120.02034368498111, 45.45149109963782, 120.02034368498111, 7.975204641182548, 9.375083447245446, 275.1738208797032,
17, 129.57004519044546, 42.308586184635246, 129.57004519044546, 7.975204641182548, 5.2082969085273785, 256.0,
18, 129.57004519044546, 42.308586184635246, 129.57004519044546, 7.975204641182548, 5.2082969085273785, 256.0,
19, 120.02034368498111, 45.45149109963782, 120.02034368498111, 7.975204641182548, 9.375083447245446, 275.1738208797032,
20, 129.57004519044546, 42.308586184635246, 129.57004519044546, 7.975204641182548, 5.2082969085273785, 256.0,
21, 52.164029109391244, 51.099457086750604, 39.123021832043435, 7.975204641182548, 8.78900103313995, 256.0,
22, 52.1851274050962, 68.16016640665627, 52.1851274050962, 7.974570883661793, 6.944211920529801, 256.0,
23, 40.51236339214848, 27.008242261432322, 15.19213627205568, 7.975204641182548, 8.78900103313995, 256.0,
24, 40.51236339214848, 27.008242261432322, 15.19213627205568, 7.975204641182548, 8.78900103313995, 256.0,
25, 52.171562256303616, 68.14244866129451, 52.171562256303616, 7.975204641182548, 8.333407508662619, 256.0,
26, 40.51236339214848, 18.00549484095488, 10.12809084803712, 7.975204641182548, 9.375083447245446, 256.0,
27, 40.51236339214848, 18.00549484095488, 10.12809084803712, 7.975204641182548, 9.375083447245446, 256.0,
28, 40.51236339214848, 18.00549484095488, 10.12809084803712, 7.975204641182548, 9.375083447245446, 256.0,
29, 52.171562256303616, 68.14244866129451, 52.171562256303616, 7.975204641182548, 8.333407508662619, 256.0,
30, 15.392460290408344, 60.3133137909878, 11.544345217806258, 7.975204641182548, 9.375083447245446, 255.80664652567975,
31, 2.973009785296964, 0.33033442058855156, 0.011613319473816266, 7.974570883661793, 1.4647171010807374, 162.0,
