LayerID, Avg IFMAP SRAM BW, Avg FILTER SRAM BW, Avg OFMAP SRAM BW, Avg IFMAP DRAM BW, Avg FILTER DRAM BW, Avg OFMAP DRAM BW,
0, 5.940703185274992, 11.908900534052083, 12.932142988353723, 7.974993377483444, 1.4952320406865862, 16.056724736364128,
1, 6.481221945942455, 12.96244389188491, 12.96244389188491, 7.975204641182548, 0.6509853782581055, 32.0,
2, 3.5463741646696154, 21.48256284112623, 21.278244988017693, 7.975204641182548, 8.78900103313995, 22.65645472408196,
3, 6.351660407612136, 12.96257226043293, 12.703320815224272, 7.974993377483444, 1.9529561347743165, 32.0,
4, 5.28186953928208, 16.168988385557387, 15.84560861784624, 7.974993377483444, 2.9294342021614748, 32.0,
5, 4.429190017214315, 18.450590367567322, 17.71676006885726, 5.981403480886911, 8.78900103313995, 28.337521984353206,
6, 9.123462028001697, 4.654827565306988, 4.5617310140008485, 7.974993377483444, 0.4882390336935791, 32.0,
7, 7.814672862327443, 7.814672862327443, 8.12725977682054, 1.9936427209154481, 2.0343293070565798, 32.0,
8, 7.964865865918831, 8.127414148896767, 7.964865865918831, 7.974993377483444, 0.9764780673871583, 32.0,
9, 4.520462172571454, 18.450866010495734, 18.081848690285817, 7.975204641182548, 5.207883026064844, 32.0,
10, 4.520462172571454, 18.450866010495734, 18.081848690285817, 7.975204641182548, 5.207883026064844, 32.0,
11, 3.4380317070694137, 21.482612323463318, 20.628190242416483, 7.975204641182548, 8.78900103313995, 24.25656958936822,
12, 7.9647605063693, 8.127306639152348, 7.9647605063693, 7.975204641182548, 1.301970756516211, 32.0,
13, 5.389536719727716, 16.16861015918315, 16.16861015918315, 3.9872854418308963, 6.103472939680521, 44.5485627739108,
14, 6.351593404854584, 12.962435520111397, 12.703186809709168, 7.975204641182548, 2.603941513032422, 32.0,
15, 3.1329714609211097, 21.48323287488761, 18.797828765526656, 7.476754351108639, 7.324167527616626, 32.0,
16, 4.716025865958193, 16.169231540428093, 14.14807759787458, 7.476754351108639, 7.323585505403687, 32.0,
17, 3.0517304814932915, 22.04027569967377, 19.836248129706394, 2.9904640813731724, 9.521165562913907, 32.0,
18, 8.146159840678846, 4.654948480387913, 4.073079920339423, 7.476754351108639, 1.2205975842339478, 32.0,
19, 5.417851821752675, 10.402275497765135, 8.451848841934174, 0.49841068022886204, 3.0514939605848697, 32.0,
20, 5.671227922117065, 12.962806679124721, 11.34245584423413, 7.476754351108639, 4.882390336935791, 32.0,
21, 3.5276830597251028, 20.158188912714873, 17.638415298625514, 7.975204641182548, 6.510371135659223, 32.0,
22, 4.349703090459885, 17.39881236183954, 15.223960816609596, 7.975204641182548, 9.113795295613478, 32.0,
23, 2.852886259556988, 22.18911535210991, 20.287191179071915, 3.4888747616020344, 8.972105221330366, 32.0,
24, 7.593794930003783, 6.508967082860386, 5.695346197502838, 7.975204641182548, 1.9529561347743165, 32.0,
25, 4.997085033730324, 12.792537686349629, 10.127425668360123, 0.7476160203432931, 6.102987921169739, 32.0,
26, 5.67120655552416, 12.962757841198078, 11.34241311104832, 7.975204641182548, 5.207883026064844, 32.0,
27, 4.036198367051442, 18.451192535092307, 16.14479346820577, 7.975204641182548, 5.2082969085273785, 32.0,
28, 4.036198367051442, 18.451192535092307, 16.14479346820577, 7.975204641182548, 5.2082969085273785, 32.0,
29, 2.6331846537246624, 23.406085810885887, 21.0654772297973, 3.9872854418308963, 9.375083447245446, 49.44432025632428,
30, 7.593794930003783, 6.508967082860386, 5.695346197502838, 7.975204641182548, 1.9529561347743165, 32.0,
31, 4.2570135746606335, 9.730316742081447, 11.352036199095023, 0.7476160203432931, 0.24411951684678956, 32.0,
32, 5.67120655552416, 12.962757841198078, 11.34241311104832, 7.975204641182548, 5.207883026064844, 32.0,
33, 4.349703090459885, 17.39881236183954, 15.223960816609596, 7.975204641182548, 9.113795295613478, 32.0,
34, 3.7648471206152694, 19.362070906021383, 16.94181204276871, 7.975204641182548, 5.8593340220933, 32.0,
35, 2.3831743477761176, 23.831743477761176, 21.71336627973796, 4.485696122059759, 9.887626162282444, 30.79846042383626,
36, 7.111615052087024, 8.127560059528028, 7.111615052087024, 7.975204641182548, 2.603941513032422, 32.0,
37, 5.06361162098867, 12.962845749730995, 10.12722324197734, 0.9968213604577241, 8.137317228226319, 32.0,
38, 5.67120655552416, 12.962757841198078, 11.34241311104832, 7.975204641182548, 5.207883026064844, 32.0,
39, 2.4847655405892097, 22.717856371101348, 20.480491728492883, 8.224429786219503, 7.161218543046358, 32.0,
40, 3.423920595533499, 19.56526054590571, 17.6383788254756, 8.224429786219503, 6.7138202336485735, 32.0,
41, 2.226110854652224, 24.734565051691376, 22.261108546522237, 4.98410680228862, 9.155209409520783, 25.059590564122395,
42, 6.902421129860602, 7.888481291269259, 7.111585406523044, 8.224429786219503, 2.6853146853146854, 32.0,
43, 3.6037659354024956, 18.451281589260777, 14.415063741609982, 0.9968213604577241, 8.137963919574029, 32.0,
44, 3.9174773819888706, 17.908468031949123, 16.144755271226863, 8.224429786219503, 5.371056186918858, 32.0,
45, 2.240123083685917, 23.407000384636518, 17.920984669487336, 6.479338842975206, 8.46348247635699, 32.0,
46, 3.0188766647365375, 19.715112912565143, 15.434858135495078, 4.143038779402416, 6.764682508145911, 32.0,
47, 1.9324708787374523, 24.73562724783939, 19.324708787374522, 1.246026700572155, 9.155209409520783, 32.0,
48, 6.223172034803847, 8.12822469851931, 6.223172034803847, 6.479338842975206, 4.231404958677686, 32.0,
