LayerID, Avg IFMAP SRAM BW, Avg FILTER SRAM BW, Avg OFMAP SRAM BW, Avg IFMAP DRAM BW, Avg FILTER DRAM BW, Avg OFMAP DRAM BW,
0, 13.450942234754462, 0.017156814074941917, 15.941857463412697, 7.974993377483444, 0.13731722822631914, 16.0,
1, 15.939476825826636, 0.0013173121343658376, 0.9962173016141648, 9.114623069936421, 0.04577240940877304, 15.999412326452656,
2, 15.941699182875128, 0.02033379997815705, 15.941699182875128, 9.114623069936421, 0.32549268912905277, 23.025970859863477,
3, 15.768836588069943, 0.005028327993644752, 0.9855522867543715, 9.815696487302693, 0.09154481881754609, 16.0,
4, 15.768853795311472, 0.08045333569036466, 15.768853795311472, 7.975204641182548, 1.301970756516211, 22.89007213526074,
5, 15.751593103351262, 0.00540178089964035, 0.9844745689594538, 9.114623069936421, 0.18308963763509217, 16.0,
6, 15.768776363020324, 0.08045294062765472, 15.768776363020324, 9.114623069936421, 2.603941513032422, 22.734718584070798,
7, 15.113505915426964, 0.01927743101457521, 0.9445941197141853, 9.114623069936421, 0.18308963763509217, 16.0,
8, 15.113395269157277, 0.30843663814606687, 15.113395269157277, 7.975204641182548, 5.207883026064844, 22.405210426434472,
9, 14.980753508324756, 0.02216087797089461, 0.9362970942702973, 7.975204641182548, 0.36617927527018435, 16.0,
10, 15.113324140267979, 0.3084351865360812, 15.113324140267979, 7.975204641182548, 5.2082969085273785, 21.81812561147951,
11, 12.95904955950297, 0.0661175997933825, 0.8099405974689357, 7.975204641182548, 0.36617927527018435, 16.0,
12, 12.958782273229865, 1.0578597774065197, 12.958782273229865, 7.974570883661793, 6.944211920529801, 20.642912241906867,
13, 12.126537400171786, 0.08421206527897074, 0.7579085875107366, 7.975204641182548, 0.7323585505403687, 16.0,
14, 12.958729979379113, 1.057855508520744, 12.958729979379113, 7.975204641182548, 8.333407508662619, 18.78314401693904,
15, 12.126537400171786, 0.08421206527897074, 0.7579085875107366, 7.975204641182548, 0.7323585505403687, 16.0,
16, 12.958729979379113, 1.057855508520744, 12.958729979379113, 7.975204641182548, 8.333407508662619, 18.78314401693904,
17, 12.126537400171786, 0.08421206527897074, 0.7579085875107366, 7.975204641182548, 0.7323585505403687, 16.0,
18, 12.958729979379113, 1.057855508520744, 12.958729979379113, 7.975204641182548, 8.333407508662619, 18.78314401693904,
19, 12.126537400171786, 0.08421206527897074, 0.7579085875107366, 7.975204641182548, 0.7323585505403687, 16.0,
20, 12.958729979379113, 1.057855508520744, 12.958729979379113, 7.975204641182548, 8.333407508662619, 18.78314401693904,
21, 12.126537400171786, 0.08421206527897074, 0.7579085875107366, 7.975204641182548, 0.7323585505403687, 16.0,
22, 12.958729979379113, 1.057855508520744, 12.958729979379113, 7.975204641182548, 8.333407508662619, 18.78314401693904,
23, 8.252933221243467, 0.16842720859680543, 0.5158083263277167, 7.975204641182548, 0.7323585505403687, 16.0,
24, 8.25267399606289, 2.694750692591964, 8.25267399606289, 3.9872854418308963, 9.259276265828374, 15.695474095796676,
25, 2.6182644654187315, 0.29091827393541464, 0.16364152908867072, 7.974570883661793, 1.4647171010807374, 16.0,
26, 8.252652787450625, 2.6947437673308166, 8.252652787450625, 7.974570883661793, 9.803990500589038, 12.066126850529796,
