LayerID, Avg IFMAP SRAM BW, Avg FILTER SRAM BW, Avg OFMAP SRAM BW, Avg IFMAP DRAM BW, Avg FILTER DRAM BW, Avg OFMAP DRAM BW,
0, 48.24378203911145, 0.2551737231820771, 63.01228674496189, 7.974993377483444, 1.4952320406865862, 98.15221799746514,
1, 60.36210526315789, 1.2318796992481202, 60.36210526315789, 7.975204641182548, 0.6509853782581055, 64.0,
2, 60.08571326361479, 1.3187536518763192, 60.08571326361479, 7.975204641182548, 8.78900103313995, 63.329952492270564,
3, 51.533036631290656, 4.206778500513523, 51.533036631290656, 7.974993377483444, 1.9529561347743165, 64.0,
4, 51.524217011809, 3.1545438986821837, 38.643162758856754, 7.974993377483444, 2.9294342021614748, 64.0,
5, 48.17618674475193, 4.561059100094857, 49.960489957520515, 5.981403480886911, 8.78900103313995, 212.90949033391917,
6, 51.533036631290656, 1.0516946251283807, 12.883259157822664, 7.974993377483444, 0.4882390336935791, 64.0,
7, 42.9770565193061, 2.387614251072561, 24.067151650811414, 1.9936427209154481, 2.0343293070565798, 64.0,
8, 51.533036631290656, 2.1033892502567615, 25.766518315645328, 7.974993377483444, 0.9764780673871583, 64.0,
9, 51.522012578616355, 4.205878577846232, 51.522012578616355, 7.975204641182548, 5.207883026064844, 64.0,
10, 51.522012578616355, 4.205878577846232, 51.522012578616355, 7.975204641182548, 5.207883026064844, 64.0,
11, 49.95949789363386, 4.729893291704981, 49.95949789363386, 7.975204641182548, 8.78900103313995, 79.47203891421185,
12, 51.52862644415918, 2.103209242618742, 25.76431322207959, 7.975204641182548, 1.301970756516211, 64.0,
13, 46.27667587245794, 3.856389656038162, 36.0958071805172, 3.9872854418308963, 6.103472939680521, 64.0,
14, 51.52862644415918, 4.206418485237484, 51.52862644415918, 7.975204641182548, 2.603941513032422, 64.0,
15, 30.46961027744791, 9.949260498758502, 32.50091762927777, 7.476754351108639, 7.324167527616626, 64.0,
16, 30.471255060728744, 7.462348178137652, 24.377004048582997, 7.476754351108639, 7.323585505403687, 64.0,
17, 26.6087793402128, 9.608725872854622, 22.420360369994118, 2.9904640813731724, 9.521165562913907, 64.0,
18, 30.476190476190474, 2.487852283770651, 8.126984126984127, 7.476754351108639, 1.2205975842339478, 64.0,
19, 19.714144898965007, 9.462789551503203, 16.559881715130608, 0.49841068022886204, 3.0514939605848697, 64.0,
20, 30.476190476190474, 9.951409135082605, 32.507936507936506, 7.476754351108639, 4.882390336935791, 64.0,
21, 32.50091762927777, 8.843787110007558, 27.084098024398145, 7.975204641182548, 6.510371135659223, 64.0,
22, 32.50267206477733, 9.286477732793522, 28.439838056680163, 7.975204641182548, 9.113795295613478, 64.0,
23, 27.16294736842105, 10.563368421052632, 24.14484210526316, 3.4888747616020344, 8.972105221330366, 64.0,
24, 32.507936507936506, 3.9805636540330416, 12.19047619047619, 7.975204641182548, 1.9529561347743165, 64.0,
25, 20.696791997240428, 13.245946878233873, 22.07657813038979, 0.7476160203432931, 6.102987921169739, 64.0,
26, 32.507936507936506, 10.614836410754778, 32.507936507936506, 7.975204641182548, 5.207883026064844, 64.0,
27, 32.50267206477733, 10.613117408906882, 32.50267206477733, 7.975204641182548, 5.2082969085273785, 64.0,
28, 32.50267206477733, 10.613117408906882, 32.50267206477733, 7.975204641182548, 5.2082969085273785, 64.0,
29, 27.593961824759845, 12.263983033226598, 27.593961824759845, 3.9872854418308963, 9.375083447245446, 64.0,
30, 32.507936507936506, 3.9805636540330416, 12.19047619047619, 7.975204641182548, 1.9529561347743165, 64.0,
31, 12.218181818181819, 3.9896103896103896, 32.58181818181818, 0.7476160203432931, 0.24411951684678956, 64.0,
32, 32.507936507936506, 10.614836410754778, 32.507936507936506, 7.975204641182548, 5.207883026064844, 64.0,
33, 32.50267206477733, 9.286477732793522, 28.439838056680163, 7.975204641182548, 9.113795295613478, 64.0,
34, 32.50091762927777, 7.959408399006802, 24.375688221958328, 7.975204641182548, 5.8593340220933, 64.0,
35, 26.60811542958168, 10.643246171832672, 24.834241067609568, 4.485696122059759, 9.887626162282444, 64.0,
36, 32.507936507936506, 5.307418205377389, 16.253968253968253, 7.975204641182548, 2.603941513032422, 64.0,
37, 21.225789334040858, 13.58450517378615, 22.074820907402493, 0.9968213604577241, 8.137317228226319, 64.0,
38, 32.507936507936506, 10.614836410754778, 32.507936507936506, 7.975204641182548, 5.207883026064844, 64.0,
39, 29.791435768261966, 9.72781576106513, 32.499748110831234, 8.224429786219503, 7.161218543046358, 64.0,
40, 29.79215046540639, 8.106707609634393, 27.083773150369446, 8.224429786219503, 6.7138202336485735, 64.0,
41, 26.993673357806763, 11.997188159025228, 27.593532765758024, 4.98410680228862, 9.155209409520783, 1846.520905923345,
42, 29.79786927728189, 4.864958249352145, 16.253383242153756, 8.224429786219503, 2.6853146853146854, 64.0,
43, 21.222973869213423, 13.582703276296591, 22.071892823981962, 0.9968213604577241, 8.137963919574029, 64.0,
44, 29.793579962573773, 9.728515906146539, 32.50208723189866, 8.224429786219503, 5.371056186918858, 64.0,
45, 13.122394785547598, 17.139454413776456, 13.122394785547598, 6.479338842975206, 8.46348247635699, 64.0,
46, 12.120892746435214, 13.192808431494111, 10.936143831370117, 4.143038779402416, 6.764682508145911, 63.970988213961924,
47, 7.2803753437955026, 18.637760880116485, 7.442161462546514, 1.246026700572155, 9.155209409520783, 64.0,
48, 13.125563425627817, 8.571796522858982, 6.5627817128139085, 6.479338842975206, 4.231404958677686, 63.89968652037618,
