LayerID, Total Cycles, Stall Cycles, Overall Util %, Mapping Efficiency %, Compute Util %,
0, 27537, 0, 2.402222464320732, 25.0, 2.4021352313167257,
1, 51489, 0, 0.4130888393637476, 0.7773951480263158, 0.41308081666342983,
2, 41499, 0, 51.00845803513338, 73.5, 51.00722891566265,
3, 7949, 0, 19.725751666876338, 98.0, 19.723270440251575,
4, 7949, 0, 19.725751666876338, 98.0, 19.723270440251575,
5, 64675, 0, 60.867413993042135, 74.28668478260869, 60.86647288020286,
6, 9549, 0, 32.84113519740287, 98.0, 32.83769633507853,
7, 9549, 0, 32.84113519740287, 98.0, 32.83769633507853,
8, 9841, 0, 0.5601564881617722, 0.68359375, 0.560099573257468,
9, 7139, 0, 43.92772096932343, 87.5, 43.921568627450974,
10, 30695, 0, 59.462453168268446, 66.015625, 59.460516028146984,
11, 7139, 0, 43.92772096932343, 87.5, 43.921568627450974,
12, 7139, 0, 43.92772096932343, 87.5, 43.921568627450974,
13, 5347, 0, 29.324855058911538, 87.5, 29.31937172774869,
14, 30695, 0, 79.2832708910246, 88.02083333333334, 79.28068803752933,
15, 7139, 0, 43.92772096932343, 87.5, 43.921568627450974,
16, 30695, 0, 79.2832708910246, 88.02083333333334, 79.28068803752933,
17, 7139, 0, 43.92772096932343, 87.5, 43.921568627450974,
18, 7139, 0, 43.92772096932343, 87.5, 43.921568627450974,
19, 30695, 0, 79.2832708910246, 88.02083333333334, 79.28068803752933,
20, 7139, 0, 43.92772096932343, 87.5, 43.921568627450974,
21, 10231, 0, 51.72514905678819, 57.421875, 51.72009382329945,
22, 4079, 0, 38.440794312331455, 76.5625, 38.431372549019606,
23, 9723, 0, 39.987658130206725, 42.1875, 39.98354586589881,
24, 9723, 0, 39.987658130206725, 42.1875, 39.98354586589881,
25, 6127, 0, 51.18328708992982, 76.5625, 51.174934725848566,
26, 9723, 0, 26.658438753471152, 28.125, 26.655697243932536,
27, 9723, 0, 26.658438753471152, 28.125, 26.655697243932536,
28, 9723, 0, 26.658438753471152, 28.125, 26.655697243932536,
29, 6127, 0, 51.18328708992982, 76.5625, 51.174934725848566,
30, 9723, 0, 27.213822894168466, 28.7109375, 27.211024269847794,
31, 9469, 0, 0.053463934945611996, 0.054931640625, 0.05345828933474129,
